"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Amenities/0/Free Wi-Fi","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Wi-Fi","additionalInfo/Amenities/1/Free Wi-Fi","additionalInfo/Amenities/1/Free breakfast","additionalInfo/Amenities/1/Restaurant","additionalInfo/Children/0/Discounts for kids","additionalInfo/Children/0/Good for kids","additionalInfo/Children/1/Family discount","additionalInfo/Parking/0/Free parking lot","additionalInfo/Parking/1/Paid parking lot","additionalInfo/Payments/0/Credit cards","additionalInfo/Payments/1/Debit cards","additionalInfo/Payments/2/Credit cards","additionalInfo/Planning/0/Appointment required","additionalInfo/Planning/0/Getting tickets in advance recommended","additionalInfo/Service options/0/In-store pickup","additionalInfo/Service options/0/No-contact delivery","additionalInfo/Service options/0/Online appointments","additionalInfo/Service options/0/Onsite services","additionalInfo/Service options/1/Delivery","additionalInfo/Service options/1/In-store shopping","additionalInfo/Service options/1/Onsite services","additionalInfo/Service options/2/Same-day delivery","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categoryName","checkInDate","checkOutDate","cid","city","claimThisBusiness","countryCode","description","fid","googleFoodUrl","hotelStars","imageUrl","imagesCount","isAdvertisement","kgmid","locatedIn","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
"true",,,"true",,,,,,,,,,"true",,,,,,,,"true",,,,"true",,,,,"Karnak, Luxor, Luxor Governorate, Egypt","Historical place","Museum","Tourist attraction",,,,"Historical place",,,"14347035474420455896","Luxor","false","EG","Huge temple site with preserved ancient ruins & over 200 structures, including giant Amen-Ra temple.","0x1449159228fec0cd:0xc71ae8c008c259d8",,,"https://lh5.googleusercontent.com/p/AF1QipOUnZr7Fo3WfNUzlae3SKdqecO-MIJwKzIZCGZj=w408-h272-k-no","128936","false","/m/014wy4",,"25.7188346","32.6572703","Karnak","Monday","6 AM to 5:30 PM","Tuesday","6 AM to 5:30 PM","Wednesday","6 AM to 5:30 PM","Thursday","6 AM to 5:30 PM","Friday","6 AM to 5:30 PM","Saturday","6 AM to 5:30 PM","Sunday","6 AM to 5:30 PM","false","+20 2 22617304","+20222617304","ChIJzcD-KJIVSRQR2FnCCMDoGsc",,,"1","26088",,,,,,"2025-02-19T16:23:00.541Z","https://www.google.com/maps/search/historical%20places%20in%20luxor%20egypt/@25.709835595960936,32.67294454939172,16z?hl=en","historical places in luxor egypt","Luxor Governorate",,"الكرنك","false","Karnak","4.8","https://www.google.com/maps/search/?api=1&query=Karnak&query_place_id=ChIJzcD-KJIVSRQR2FnCCMDoGsc",
"true",,,"true",,,,,,,,,,,,"true","true",,,,,,,,,"true",,,,,"Luxor City, Luxor, Luxor Governorate 1362501, Egypt","Tourist attraction","Archaeological site",,,,,"Tourist attraction",,,"8544323947161484673","Luxor","false","EG","Complex constructed mainly under Amenhotep III & Ramesses II, added to by Tutankhamun & others.","0x144915c41edadf61:0x7693895c346c7d81",,,"https://lh5.googleusercontent.com/p/AF1QipP8J6U8QcNxSgcLTq8ZHagDIQPq5FvusiXyiu7s=w408-h272-k-no","246229","false","/m/03pp7v","Luxor temple official parking","25.699502","32.6390509","Luxor City","Monday","6 AM to 10 PM","Tuesday","6 AM to 10 PM","Wednesday","6 AM to 10 PM","Thursday","6 AM to 10 PM","Friday","6 AM to 10 PM","Saturday","6 AM to 10 PM","Sunday","6 AM to 10 PM","false",,,"ChIJYd_aHsQVSRQRgX1sNFyJk3Y",,,"2","30197",,,,,,"2025-02-19T16:23:00.542Z","https://www.google.com/maps/search/historical%20places%20in%20luxor%20egypt/@25.709835595960936,32.67294454939172,16z?hl=en","historical places in luxor egypt","Luxor Governorate",,"معبد الاقصر","false","Luxor Temple","4.8","https://www.google.com/maps/search/?api=1&query=Luxor%20Temple&query_place_id=ChIJYd_aHsQVSRQRgX1sNFyJk3Y","http://www.sca-egypt.org/eng/SITE_Luxor.htm"
"true",,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,,,"PM74+RH4, Luxor City, Luxor, Luxor Governorate, Egypt","Historical landmark",,,,,,"Historical landmark",,,"18405430949952364590","Luxor","true","EG",,"0x14491512878e83a3:0xff6d39eecde4202e",,,"https://lh5.googleusercontent.com/p/AF1QipOrooI4MKMighzftdhmpo1ZOTXddanNxn2G33wj=w426-h240-k-no","119","false","/g/11hz18fcks",,"25.714506","32.6564563","Luxor City",,,,,,,,,,,,,,,"false",,,"ChIJo4OOhxIVSRQRLiDkze45bf8",,,"3","29",,,,,,"2025-02-19T16:23:00.542Z","https://www.google.com/maps/search/historical%20places%20in%20luxor%20egypt/@25.709835595960936,32.67294454939172,16z?hl=en","historical places in luxor egypt","Luxor Governorate","PM74+RH4",,"false","Alley of the Sphinxes","4.6","https://www.google.com/maps/search/?api=1&query=Alley%20of%20the%20Sphinxes&query_place_id=ChIJo4OOhxIVSRQRLiDkze45bf8",
,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,"PJ2Q+4VF, Luxor City, Luxor, Luxor Governorate 1362501, Egypt","Historical landmark","Tourist attraction",,,,,"Historical landmark",,,"18381976439069884881","Luxor","true","EG",,"0x144915ce10239117:0xff19e62df05c41d1",,,"https://lh5.googleusercontent.com/p/AF1QipP4EOxSvkQbcTU__LxOmwAjEYMJ8tA4nRt2e6Mh=w408-h306-k-no","747","false","/g/11dxd9m_9j",,"25.7003035","32.6396669","Luxor City",,,,,,,,,,,,,,,"false",,,"ChIJF5EjEM4VSRQR0UFc8C3mGf8",,,"4","43",,,,,,"2025-02-19T16:23:00.543Z","https://www.google.com/maps/search/historical%20places%20in%20luxor%20egypt/@25.709835595960936,32.67294454939172,16z?hl=en","historical places in luxor egypt","Luxor Governorate","PJ2Q+4VF",,"false","First Pylon Luxor Temple","4.7","https://www.google.com/maps/search/?api=1&query=First%20Pylon%20Luxor%20Temple&query_place_id=ChIJF5EjEM4VSRQR0UFc8C3mGf8",
"true",,,"true",,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,"PM94+PQ3, Luxor City, Luxor, Luxor Governorate, Egypt","Historical landmark","Monument",,,,,"Historical landmark",,,"12734527826854393909","Luxor","true","EG",,"0x144915919bae6763:0xb0ba21968dfbb835",,,"https://lh5.googleusercontent.com/p/AF1QipPoi40hifa-rOcu6LaSnH-xcEZj5W1GNkBjeSsd=w408-h271-k-no","508","false","/g/11c2jrv8_d",,"25.7192741","32.6569194","Luxor City","Monday","6 AM to 5 PM","Tuesday","6 AM to 5 PM","Wednesday","6 AM to 5 PM","Thursday","6 AM to 5 PM","Friday","6 AM to 5 PM","Saturday","6 AM to 5 PM","Sunday","6 AM to 5 PM","false",,,"ChIJY2eum5EVSRQRNbj7jZYhurA",,,"5","79",,,,,,"2025-02-19T16:23:00.543Z","https://www.google.com/maps/search/historical%20places%20in%20luxor%20egypt/@25.709835595960936,32.67294454939172,16z?hl=en","historical places in luxor egypt","Luxor Governorate","PM94+PQ3","الصرح الاول","false","First Pylon","4.8","https://www.google.com/maps/search/?api=1&query=First%20Pylon&query_place_id=ChIJY2eum5EVSRQRNbj7jZYhurA",
"true",,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,"PM84+J8F, Luxor City, Luxor, Luxor Governorate, Egypt","Historical landmark","Tourist attraction",,,,,"Historical landmark",,,"6891741591756461043","Luxor","true","EG",,"0x14491593ff0ba803:0x5fa46276b46dd3f3",,,"https://lh5.googleusercontent.com/p/AF1QipNDsCo4s3KWqD-4DX1vKO7SLK2CuYoKYBcArpiv=w408-h305-k-no","1033","false","/m/026vpg8",,"25.7165516","32.6558113","Luxor City",,,,,,,,,,,,,,,"false",,,"ChIJA6gL_5MVSRQR89NttHZipF8",,,"6","120",,,,,,"2025-02-19T16:23:00.543Z","https://www.google.com/maps/search/historical%20places%20in%20luxor%20egypt/@25.709835595960936,32.67294454939172,16z?hl=en","historical places in luxor egypt","Luxor Governorate","PM84+J8F","معبد خنسو","false","Temple Of Khonsu","4.7","https://www.google.com/maps/search/?api=1&query=Temple%20Of%20Khonsu&query_place_id=ChIJA6gL_5MVSRQR89NttHZipF8",
"true",,,"true",,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,"Karnak, الكرنك،، Luxor Governorate, Egypt","Historical landmark",,,,,,"Historical landmark",,,"10228553778511934372","الكرنك،","true","EG",,"0x144915b0005983e1:0x8df31f77e62ef3a4",,,"https://lh5.googleusercontent.com/p/AF1QipNxPFxr-yzNUsbyCKLWWXiLwQkQVxZlY85nOOu5=w408-h306-k-no","1248","false","/m/0by28r",,"25.7204311","32.6574777","Karnak","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false",,,"ChIJ4YNZALAVSRQRpPMu5ncf840",,,"7","72",,,,,,"2025-02-19T16:23:00.543Z","https://www.google.com/maps/search/historical%20places%20in%20luxor%20egypt/@25.709835595960936,32.67294454939172,16z?hl=en","historical places in luxor egypt","Luxor Governorate",,"المتحف المفتوح بالكرنك","false","Karnak Open-air Museum","4.9","https://www.google.com/maps/search/?api=1&query=Karnak%20Open-air%20Museum&query_place_id=ChIJ4YNZALAVSRQRpPMu5ncf840",
"true",,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,"PM94+8Q9, Karnak, Luxor, Luxor Governorate, Egypt","Historical landmark","Historical place","Tourist attraction",,,,"Historical landmark",,,"10901931794273974181","Luxor","true","EG",,"0x14491591a0669a2b:0x974b7134bb3cb7a5",,,"https://lh5.googleusercontent.com/p/AF1QipNLB3gMXJhC-ddYaslwgDfOCowN50EYYGoNKA7o=w408-h271-k-no","1354","false","/g/119x4f1n8",,"25.7182846","32.6569872","Karnak","Monday","8 AM to 5:30 PM","Tuesday","8 AM to 5:30 PM","Wednesday","8 AM to 5:30 PM","Thursday","8 AM to 5:30 PM","Friday","8 AM to 5:30 PM","Saturday","8 AM to 5:30 PM","Sunday","8 AM to 5:30 PM","false",,,"ChIJK5pmoJEVSRQRpbc8uzRxS5c",,,"8","192",,,,,,"2025-02-19T16:23:00.543Z","https://www.google.com/maps/search/historical%20places%20in%20luxor%20egypt/@25.709835595960936,32.67294454939172,16z?hl=en","historical places in luxor egypt","Luxor Governorate","PM94+8Q9","معبد رمسيس الثالث","false","Ramesses III Temple","4.8","https://www.google.com/maps/search/?api=1&query=Ramesses%20III%20Temple&query_place_id=ChIJK5pmoJEVSRQRpbc8uzRxS5c",
"true",,,"true",,,,,,,,,,"true",,,,,,,,"true",,,,,,,,,"Kornish Al Nile, Karnak, Luxor, Luxor Governorate, Egypt","Historical landmark",,,,,,"Historical landmark",,,"18267282971313332476","Luxor","true","EG",,"0x14491590c46096a7:0xfd826d1404ac60fc",,,"https://lh5.googleusercontent.com/p/AF1QipPuie7vv-mJIq8Bx0pVuFRFSGccNejcUnNB7Gmf=w426-h240-k-no","2546","false","/g/1tgz7n6c",,"25.7206484","32.6533708","Karnak","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+20 95 2371229","+20952371229","ChIJp5ZgxJAVSRQR_GCsBBRtgv0",,,"9","1392",,,,,,"2025-02-19T16:23:00.543Z","https://www.google.com/maps/search/historical%20places%20in%20luxor%20egypt/@25.709835595960936,32.67294454939172,16z?hl=en","historical places in luxor egypt","Luxor Governorate","Kornish Al Nile","الصوت والضوء","false","Sound & Light","4.5","https://www.google.com/maps/search/?api=1&query=Sound%20%26%20Light&query_place_id=ChIJp5ZgxJAVSRQR_GCsBBRtgv0","https://soundandlight.show/en/show/karnak-show"
"true",,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,,,"PM64+M38, Rd Lead to Al Oksor, Karnak, Luxor, Luxor Governorate 1363067, Egypt","Historical landmark","Tourist attraction",,,,,"Historical landmark",,,"3310551196148930598","Luxor","true","EG","Restored temple complex honoring Mut, an Egyptian sky goddess & consort of Amun-Ra.","0x14491595fb30ee3d:0x2df170c5d9339826",,,"https://lh5.googleusercontent.com/p/AF1QipMJh9z3_a99bydGz-QXP-llPF2h4K7eET-N7_3_=w519-h240-k-no","1178","false","/m/06r9s7",,"25.7116622","32.6552125","Karnak",,,,,,,,,,,,,,,"false",,,"ChIJPe4w-5UVSRQRJpgz2cVw8S0",,,"10","516",,,,,,"2025-02-19T16:23:00.543Z","https://www.google.com/maps/search/historical%20places%20in%20luxor%20egypt/@25.709835595960936,32.67294454939172,16z?hl=en","historical places in luxor egypt","Luxor Governorate","PM64+M38, Rd Lead to Al Oksor",,"false","Mut Temple","4.4","https://www.google.com/maps/search/?api=1&query=Mut%20Temple&query_place_id=ChIJPe4w-5UVSRQRJpgz2cVw8S0",
