additionalInfo/Accessibility/0/Wheelchair accessible entrance,additionalInfo/Accessibility/1/Wheelchair accessible parking lot,additionalInfo/Children/0/Good for kids,address,categoryName,city,description,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,reviewsCount,state,street,subTitle,title,totalScore,website,Categories
True,True,True,"Karnak, Luxor, Luxor Governorate, Egypt",Historical place,Luxor,"Huge temple site with preserved ancient ruins & over 200 structures, including giant Amen-Ra temple.",25.7188346,32.6572703,Monday,6 AM to 5:30 PM,Tuesday,6 AM to 5:30 PM,Wednesday,6 AM to 5:30 PM,Thursday,6 AM to 5:30 PM,Friday,6 AM to 5:30 PM,Saturday,6 AM to 5:30 PM,Sunday,6 AM to 5:30 PM,+20 2 22617304,26088,Luxor Governorate,,الكرنك,Karnak,4.8,,"Historical place, Museum, Tourist attraction"
True,True,,"Luxor City, Luxor, Luxor Governorate 1362501, Egypt",Tourist attraction,Luxor,"Complex constructed mainly under Amenhotep III & Ramesses II, added to by Tutankhamun & others.",25.699502,32.6390509,Monday,6 AM to 10 PM,Tuesday,6 AM to 10 PM,Wednesday,6 AM to 10 PM,Thursday,6 AM to 10 PM,Friday,6 AM to 10 PM,Saturday,6 AM to 10 PM,Sunday,6 AM to 10 PM,,30197,Luxor Governorate,,معبد الاقصر,Luxor Temple,4.8,http://www.sca-egypt.org/eng/SITE_Luxor.htm,"Tourist attraction, Archaeological site"
True,True,True,"PM74+RH4, Luxor City, Luxor, Luxor Governorate, Egypt",Historical landmark,Luxor,,25.714506,32.6564563,,,,,,,,,,,,,,,,29,Luxor Governorate,PM74+RH4,,Alley of the Sphinxes,4.6,,Historical landmark
,,True,"PJ2Q+4VF, Luxor City, Luxor, Luxor Governorate 1362501, Egypt",Historical landmark,Luxor,,25.7003035,32.6396669,,,,,,,,,,,,,,,,43,Luxor Governorate,PJ2Q+4VF,,First Pylon Luxor Temple,4.7,,"Historical landmark, Tourist attraction"
True,True,True,"PM94+PQ3, Luxor City, Luxor, Luxor Governorate, Egypt",Historical landmark,Luxor,,25.7192741,32.6569194,Monday,6 AM to 5 PM,Tuesday,6 AM to 5 PM,Wednesday,6 AM to 5 PM,Thursday,6 AM to 5 PM,Friday,6 AM to 5 PM,Saturday,6 AM to 5 PM,Sunday,6 AM to 5 PM,,79,Luxor Governorate,PM94+PQ3,الصرح الاول,First Pylon,4.8,,"Historical landmark, Monument"
True,,True,"PM84+J8F, Luxor City, Luxor, Luxor Governorate, Egypt",Historical landmark,Luxor,,25.7165516,32.6558113,,,,,,,,,,,,,,,,120,Luxor Governorate,PM84+J8F,معبد خنسو,Temple Of Khonsu,4.7,,"Historical landmark, Tourist attraction"
True,True,True,"Karnak, الكرنك،، Luxor Governorate, Egypt",Historical landmark,الكرنك،,,25.7204311,32.6574777,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,,72,Luxor Governorate,,المتحف المفتوح بالكرنك,Karnak Open-air Museum,4.9,,Historical landmark
True,,True,"PM94+8Q9, Karnak, Luxor, Luxor Governorate, Egypt",Historical landmark,Luxor,,25.7182846,32.6569872,Monday,8 AM to 5:30 PM,Tuesday,8 AM to 5:30 PM,Wednesday,8 AM to 5:30 PM,Thursday,8 AM to 5:30 PM,Friday,8 AM to 5:30 PM,Saturday,8 AM to 5:30 PM,Sunday,8 AM to 5:30 PM,,192,Luxor Governorate,PM94+8Q9,معبد رمسيس الثالث,Ramesses III Temple,4.8,,"Historical landmark, Historical place, Tourist attraction"
True,True,True,"Kornish Al Nile, Karnak, Luxor, Luxor Governorate, Egypt",Historical landmark,Luxor,,25.7206484,32.6533708,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,+20 95 2371229,1392,Luxor Governorate,Kornish Al Nile,الصوت والضوء,Sound & Light,4.5,https://soundandlight.show/en/show/karnak-show,Historical landmark
True,True,True,"PM64+M38, Rd Lead to Al Oksor, Karnak, Luxor, Luxor Governorate 1363067, Egypt",Historical landmark,Luxor,"Restored temple complex honoring Mut, an Egyptian sky goddess & consort of Amun-Ra.",25.7116622,32.6552125,,,,,,,,,,,,,,,,516,Luxor Governorate,"PM64+M38, Rd Lead to Al Oksor",,Mut Temple,4.4,,"Historical landmark, Tourist attraction"
True,True,True,"Kornish Al Nile, Luxor City, Luxor, Luxor Governorate 1362503, Egypt",Tourist attraction,Luxor,"Museum of Ancient Egyptian artifacts, from everyday items to artwork, sculpture & mummies.",25.7076132,32.6445491,Monday,"9 AM to 2 PM, 5 to 8 PM",Tuesday,"9 AM to 2 PM, 5 to 8 PM",Wednesday,"9 AM to 2 PM, 5 to 8 PM",Thursday,"9 AM to 2 PM, 5 to 8 PM",Friday,"9 AM to 2 PM, 5 to 8 PM",Saturday,"9 AM to 2 PM, 5 to 8 PM",Sunday,"9 AM to 2 PM, 5 to 8 PM",,7024,Luxor Governorate,Kornish Al Nile,متحف الأقصر,Luxor Museum,4.6,https://xn-----elcfjbpafma2eemczf0p.xn--p1ai/,"Tourist attraction, Museum, Archaeological museum"
True,True,True,"PM95+F45, Luxor City, Luxor, Luxor Governorate, Egypt",Historical landmark,Luxor,"Famed area at Karnak temple featuring 134 massive sandstone columns, many with intricate carvings.",25.7186326,32.6578563,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 5 PM,Sunday,8 AM to 5 PM,+20 95 2380270,191,Luxor Governorate,PM95+F45,,Hypostyle Hall,4.9,,"Historical landmark, Tourist attraction"
True,True,True,"MJXR+G79, شارع Mabad Al Karnak, Luxor City, Luxor, Luxor Governorate 1362410, Egypt",Historical landmark,Luxor,,25.6990264,32.6408553,,,,,,,,,,,,,,,,11,Luxor Governorate,"MJXR+G79, شارع Mabad Al Karnak",,ميدان أبوالحجاج,4.7,,Historical landmark
,,True,"MJXP+H98, Luxor City, Luxor, Luxor Governorate 1362404, Egypt",Tourist attraction,Luxor,,25.6989213,32.6359385,,,,,,,,,,,,,,,,35,Luxor Governorate,MJXP+H98,,River Nile,4.8,,Tourist attraction
True,True,True,"Mabad Al Oksor, Luxor City, Luxor, Luxor Governorate 1362501, Egypt",Tourist attraction,Luxor,,25.700508,32.6407155,Monday,6 AM to 8 PM,Tuesday,6 AM to 8 PM,Wednesday,6 AM to 8 PM,Thursday,6 AM to 8 PM,Friday,6 AM to 8 PM,Saturday,6 AM to 8 PM,Sunday,6 AM to 8 PM,,536,Luxor Governorate,Mabad Al Oksor,,Luxor Temple Ticket Office,4.7,https://ru.egy.guide/,Tourist attraction
True,True,True,"PJ2Q+4WG, Luxor City, Luxor, Luxor Governorate 1362501, Egypt",Historical landmark,Luxor,,25.7003122,32.6398159,,,,,,,,,,,,,,,,20,Luxor Governorate,PJ2Q+4WG,,Remaining Luxor Obelisk,4.6,,Historical landmark
True,True,True,"Edfo, Luxor Governorate 1341711, Egypt",Historical place,Edfo,Complex including scenes from Ramesses II's great Battle of Qadesh & his campaign against Dapur.,25.7279952,32.6104602,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,,794,Luxor Governorate,,الرامسيوم,Ramesseum,4.7,,"Historical place, Place of worship, Tourist attraction"
