Unnamed: 0,id,types,internationalPhoneNumber,formattedAddress,rating,googleMapsUri,websiteUri,userRatingCount,primaryType,shortFormattedAddress,location.latitude,location.longitude,regularOpeningHours.weekdayDescriptions,displayName.text,displayName.languageCode,primaryTypeDisplayName.text,priceRange.startPrice.units,priceRange.endPrice.units,priceLevel
0,ChIJg0IZSDt5TRQRVoRPioDGiMY,"['tourist_attraction', 'point_of_interest', 'establishment']",+20 11 40663325,"Makadi Bay, Hurghada 1, Red Sea Governorate 84517, Egypt",4.4,https://maps.google.com/?cid=14305902471720961110,http://www.dolphinworldegypt.com/,4167.0,tourist_attraction,Hurghada 1,26.9906317,33.8520963,"['Monday: 10:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: 10:30\u202fAM\u2009–\u20095:00\u202fPM']",Dolphin World Egypt,en,Tourist Attraction,,,
1,ChIJh3exDCjF9RQR3xJz46pVXXA,"['tourist_attraction', 'point_of_interest', 'establishment']",,"5 Ahmed Yehia, Fleming, El Raml 1, Alexandria Governorate 21500, Egypt",4.4,https://maps.google.com/?cid=8096721897530790623,,2090.0,tourist_attraction,"5 Ahmed Yehia, Fleming, El Raml 1",31.2382831,29.9627838,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",Gleem,en,Tourist Attraction,,,
2,ChIJKamZp-FLqxUR4o76ZTA47NE,"['breakfast_restaurant', 'brunch_restaurant', 'coffee_shop', 'cafe', 'food_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",+20 10 61480619,"Blue Hole Rd, Dahab, South Sinai Governorate 8772483, Egypt",4.9,https://maps.google.com/?cid=15126527028951158498,https://www.facebook.com/elcafedelsur,82.0,cafe,"Blue Hole Rd, Dahab",28.5089216,34.5160416,"['Monday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 8:00\u202fAM\u2009–\u200912:00\u202fAM']","Cafe Del Sur (Cafe, Bakery & Art Gallery) - بن الجنوب",en,Cafe,1.0,100.0,
3,ChIJKZPDWgC79xQR97MAX3mGZHk,"['tourist_attraction', 'point_of_interest', 'establishment']",,"X556+7H3, Al Shora, Al Mahalah Al Kubra (Part 2), El Mahalla El Kubra 2, Gharbia Governorate 6745133, Egypt",,https://maps.google.com/?cid=8747264232103392247,,,tourist_attraction,"X556+7H3, Al Shora, Al Mahalah Al Kubra (Part 2), El Mahalla El Kubra 2",30.9581357,31.1614374,,المقر,ar,Tourist Attraction,,,
4,ChIJTcMeB5wP9hQRxPyPlFiVmRE,"['japanese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",,"دوران، البحيرة،،، R8XV+6CM, Al Abqain, Hosh Eissa, Beheira Governorate 5822650, Egypt",,https://maps.google.com/?cid=1268208977763630276,,,japanese_restaurant,"R8XV+6CM، دوران، البحيرة،،, Hosh Eissa",30.8480986,30.3435506,,رست هاوس وادى النطرون مطعم لقمة هنية,ar,Japanese Restaurant,,,
5,ChIJZ__09cAXSRQR8VCqKdSKI4I,"['gift_shop', 'point_of_interest', 'store', 'establishment']",+20 12 24445912,"In front of Ramose Tomb, west bank, القرنة، محافظة الأقصر 1340420, Egypt",5.0,https://maps.google.com/?cid=9377491492952232177,,4.0,gift_shop,"west bank, In front of Ramose Tomb",25.7303697,32.6094459,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM']",Ahmed's Ancient Art Gallery,en,Gift Shop,,,
6,ChIJt__hh85LqxURTml3_5oV69s,"['tourist_attraction', 'point_of_interest', 'establishment']",,"FGH7+2C, Egypt",4.9,https://maps.google.com/?cid=15846783469288384846,,81.0,tourist_attraction,FGH7+2C,28.4776125,34.5135659,,Islands dive site,en,Tourist Attraction,,,
7,ChIJ9zVTOQB5WRQRAVZF4Kr_F34,"['hiking_area', 'park', 'sports_activity_location', 'point_of_interest', 'establishment']",,"8R5V+949, Qesm Al Fayoum, Second Al Faiyum, Faiyum Governorate 2922443, Egypt",,https://maps.google.com/?cid=9086011882615428609,,,hiking_area,"8R5V+949, Qesm Al Fayoum, Second Al Faiyum",29.3084021,30.8428497,,Majic lake,en,Hiking Area,,,
8,ChIJgf-WyqBbWBQRgo0D3xpcu60,"['art_gallery', 'point_of_interest', 'establishment']",+20 10 00773860,"Behind Total Gas Station, km 28 Cairo - Alexandria Desert Rd, Kerdasa, Cairo Governorate 3651001, Egypt",4.4,https://maps.google.com/?cid=12518700859686882690,http://tam.gallery/,130.0,art_gallery,"Behind Total Gas Station, km 28 Cairo - Alexandria Desert Rd, Kerdasa",30.0607409,31.032020000000003,"['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: Closed', 'Saturday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20095:00\u202fPM']",TAM Gallery (The Arts-Mart Gallery),en,Art Gallery,,,
9,ChIJkzb0rCuc9xQR0hviznZPeYs,"['furniture_store', 'home_improvement_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",+20 10 66637222,"Mit Badr Khamees, El Mansoura, Dakahlia Governorate 7650023, Egypt",3.8,https://maps.google.com/?cid=10050151415149632466,,8.0,furniture_store,"Mit Badr Khamees, El Mansoura",31.0339651,31.3572038,"['Monday: 12:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u200911:00\u202fPM']",Nadia Gallery,en,Furniture Store,,,
