address,categoryName,city,location/lat,location/lng,phone,price,reviewsCount,state,street,subTitle,title,totalScore,website,Categories
"Memnon Street, Al Bairat, Al Qarna, Luxor Governorate 1341472, Egypt",Art gallery,Al Qarna,25.7198523,32.6103207,(310) 774-6722,,13,Luxor Governorate,Memnon Street,,Luxor Art Gallery • Egypt,4.8,http://www.luxorartgallery.com/,"Art gallery, Art school, Arts organization"
"Corniche el Nile street At the Old Winter Palace hotel, Luxor Governorate 85951, Egypt",Art gallery,Luxor,25.69649,32.6367831,+20 10 91247625,,183,Luxor Governorate,Corniche el Nile street At the Old Winter Palace hotel,,Nobles Art Gallery,5.0,https://www.noblesartgallery.com/,"Art gallery, Antique store, Store"
",Al Jazeera Hotel Street, next to Al Jazeera Hotel Luxor West Bank, Al boairat qorna luxor, Luxor Governorate 85958, Egypt",Art gallery,Al boairat qorna luxor,25.7047248,32.6324014,+20 11 11258045,,2,Luxor Governorate,",Al Jazeera Hotel Street, next to Al Jazeera Hotel Luxor West Bank",,Nūn Art Gallery Luxor,5.0,,Art gallery
"Mohaned Farid, Luxor City, Luxor, Luxor Governorate 85951, Egypt",Art gallery,Luxor,25.6974321,32.640588,+20 12 25644604,,146,Luxor Governorate,Mohaned Farid,لوتس بردى,Lotus Papyrus Luxor,4.9,,Art gallery
"PJMC+652, عزبة الورد, بجوار ارض البالون, Al Qarna, Luxor Governorate 85955, Egypt",Art gallery,Al Qarna,25.7328663,32.6202304,+20 10 26043556,,7,Luxor Governorate,"PJMC+652, عزبة الورد, بجوار ارض البالون",,Obelisk Factory 1,4.7,https://www.facebook.com/hazem.awes.7?mibextid=ZbWKwL,Art gallery
"West, Al-Masala, Street, Luxor, Luxor Governorate 85951, Egypt",Art gallery,Luxor,25.7039229,32.632847,+20 15 00021083,,13,Luxor Governorate,"West, Al-Masala",,Humansofupperegypt artspace (artspace &studio),5.0,https://human-eg.com/en/,"Art gallery, Art center, Art cafe, Art school, Art studio, Artist"
"PJG6+F2, Al Qarnah, Al Qarna, Luxor Governorate 1341705, Egypt",Art center,Al Qarna,25.726378,32.6089172,+20 10 97402731,,10,Luxor Governorate,PJG6+F2,,مركز الفخارRamesseum pottery,5.0,,Art center
"Luxor City, Luxor, Luxor Governorate 1345179, Egypt",Art center,Luxor,25.703875,32.6328618,+20 10 97136034,,2,Luxor Governorate,,,Pirba art studio,5.0,,Art center
"Memnon Road, 25°43'24.9""N 32°36'21, 0""E طريق القرنة، Al Qarnah, Luxor Governorate 85831, Egypt",Art gallery,Al Qarna,25.7235773,32.6058135,+20 11 13863890,,2,Luxor Governorate,"Memnon Road, 25°43'24.9""N 32°36'21, 0""E طريق القرنة",,Farouk Gallery,5.0,,Art gallery
"امام معبد الاقصر أمام بوابه, Mabad Al Oksor, Luxor Governorate, Egypt",Art gallery,Luxor,25.7000647,32.6411393,+20 10 94000138,,522,Luxor Governorate,"امام معبد الاقصر أمام بوابه, Mabad Al Oksor",,Ata Bazar,4.9,,"Art gallery, Antique store, Souvenir store, Gift shop, Goldsmith, Handicraft fair, Jewelry store, Silversmith"
