address,categoryName,city,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,price,reviewsCount,state,street,subTitle,title,totalScore,website,Categories
"Al-Sahaby Street, Luxor City, Luxor, Luxor Governorate 85951, Egypt",Restaurant,Luxor,25.7016124,32.6421777,Monday,7 AM to 11:30 PM,Tuesday,7 AM to 11:30 PM,Wednesday,7 AM to 11:30 PM,Thursday,7 AM to 11:30 PM,Friday,7 AM to 11:30 PM,Saturday,7 AM to 11:30 PM,Sunday,7 AM to 11:30 PM,+20 95 2256086,$$,2530,Luxor Governorate,Al-Sahaby Street,حارة الصحابى,Al Sahaby Lane Restaurant,4.6,https://www.nefertitihotel.com/,Restaurant
"Abd El-Hameed Taha, Luxor City, Luxor, Luxor Governorate 1362520, Egypt",Meat dish restaurant,Luxor,25.7026834,32.6441427,,,,,,,,,,,,,,,+20 10 19000081,$$,2467,Luxor Governorate,Abd El-Hameed Taha,مطعم أم هاشم الفرع الاصلي,Oum Hashem Main Restaurant,3.8,https://de.restaurantguru.com/Oum-Hashim-Restaurant-Luxor,Meat dish restaurant
"Luxor City, Luxor, Luxor Governorate 1362502, Egypt",Meat dish restaurant,Luxor,25.7049114,32.6437596,Monday,10 AM to 10 PM,Tuesday,10 AM to 10 PM,Wednesday,10 AM to 10 PM,Thursday,10 AM to 10 PM,Friday,10 AM to 10 PM,Saturday,10 AM to 10 PM,Sunday,10 AM to 10 PM,+20 12 79416951,,421,Luxor Governorate,,مطعم قصر الواحة,Oasis Palace,4.5,,"Meat dish restaurant, Restaurant"
"El-Sayed Youssef, Karnak, Luxor, Luxor Governorate 85953, Egypt",Restaurant,Luxor,25.7109406,32.6480728,Monday,10 AM to 1 AM,Tuesday,10 AM to 1 AM,Wednesday,10 AM to 1 AM,Thursday,10 AM to 1 AM,Friday,9 AM to 1 AM,Saturday,10 AM to 1 AM,Sunday,10 AM to 1 AM,+20 15 07382515,,212,Luxor Governorate,El-Sayed Youssef,,Qasr el neel restaurant,4.8,,Restaurant
"طريق تمثالين، ممنون, Luxor Governorate, Egypt",Restaurant,Al Qarna,25.7182767,32.6147651,Monday,5 AM to 11:30 PM,Tuesday,5 AM to 11:30 PM,Wednesday,5 AM to 11:30 PM,Thursday,5 AM to 11:30 PM,Friday,5 AM to 11:30 PM,Saturday,5 AM to 11:30 PM,Sunday,5 AM to 11:30 PM,+20 10 92416942,,844,Luxor Governorate,طريق تمثالين، ممنون,,Restaurant Paris,4.4,,Restaurant
"كورنيش النيل -بالقرب من بنك اسكندرية, Luxor, Luxor Governorate 85951, Egypt",Restaurant,Luxor,25.7074942,32.6438192,Monday,9 AM to 2 AM,Tuesday,9 AM to 2 AM,Wednesday,9 AM to 2 AM,Thursday,9 AM to 2 AM,Friday,9 AM to 2 AM,Saturday,9 AM to 2 AM,Sunday,9 AM to 2 AM,+20 15 57153168,E£100–200,85,Luxor Governorate,كورنيش النيل -بالقرب من بنك اسكندرية,,Kaya Restoz,4.4,,"Restaurant, Cafe, Takeout Restaurant, Native American restaurant"
"Unnamed Road, Al Bairat, Luxor, Luxor Governorate 85958, Egypt",Restaurant,Luxor,25.7181728,32.6023286,Monday,6 AM to 8 PM,Tuesday,6 AM to 8 PM,Wednesday,6 AM to 8 PM,Thursday,6 AM to 8 PM,Friday,6 AM to 8 PM,Saturday,6 AM to 8 PM,Sunday,6 AM to 8 PM,+20 10 32248447,E£100–200,330,Luxor Governorate,Unnamed Road,,"Café & Restaurant Maratonga - Medinet Habu, Luxor",4.7,https://caferestaurantmaratonga.wordpress.com/,"Restaurant, Breakfast restaurant, Cafe, Diner, Fruit parlor, Fusion restaurant, Tourist information center"
"PJ2V+WP2, Abd El-Hameed Taha, Luxor City, Luxor, Luxor Governorate 1362514, Egypt",Restaurant,Luxor,25.7022321,32.6442485,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,+20 10 28279165,,39,Luxor Governorate,"PJ2V+WP2, Abd El-Hameed Taha",مطعم ام هاشم الرئيسي القديم,Oum Hashem Old Main Restaurant,4.9,,Restaurant
"PJ92+6XV, Al Bairat, Luxor, Luxor Governorate 1340560, Egypt",Restaurant,Luxor,25.7181033,32.6024209,,,,,,,,,,,,,,,+20 12 85999500,E£200–300,28,Luxor Governorate,PJ92+6XV,,Belzoni Alaa El Din,4.8,,Restaurant
"The Conference Center, El Kornish, Karnak, Luxor, Luxor Governorate 1362602, Egypt",Restaurant,Luxor,25.7114623,32.6463331,Monday,8 AM to 2 AM,Tuesday,8 AM to 2 AM,Wednesday,8 AM to 2 AM,Thursday,8 AM to 2 AM,Friday,8 AM to 2 AM,Saturday,8 AM to 2 AM,Sunday,8 AM to 2 AM,+20 10 50223223,E£100–200,27,Luxor Governorate,"The Conference Center, El Kornish",,Bab Sharq Luxor,4.4,,Restaurant
